Nome da música,Id da música,Características,Valores
O Livre Atirador e a Pegadora (Ao Vivo),5IOZfy9tMhJqjGXbHM0jwJ,Acústica,0.667
Qui Nem Jiló / Expresso 2222 (Ao Vivo),0FXyLe8HnVp2AtYgP9wXPD,Acústica,0.597
O Casamento da Raposa (Ao Vivo),59PHZNYeNa6aaX8Jk7v5kr,Acústica,0.514
Fé na Festa,0cp6aHl3mypJjcxth4GnSd,Acústica,0.0408
O Livre Atirador e a Pegadora,1ifK0dA4dHSTa7egSJz0ed,Acústica,0.133
Assim Sim,2pCUfCduATyVWbFkJ9HBUK,Acústica,0.134
Estrela Azul do Céu,5Ua2e9QmFUhenCILuJIQRP,Acústica,0.195
Marmundo,5YxvLgLxE1A0LpENQfbD1i,Acústica,0.0382
Vinte e Seis,2l7QgxlUhk0oAu49sXiula,Acústica,0.409
Não Tenho Medo da Vida,7AXgEnLbbMfbIc7XHVAhy6,Acústica,0.404
Norte da Saudade,44Wwr9CrQ387jK7vrRzB1Z,Acústica,0.435
Maria Minha,3VTnKceEjt8qJu43YMeydY,Acústica,0.157
Aprendi Com o Rei,249owxDulgERZuDz6a4FTt,Acústica,0.0562
Dança da Moda,6vVDzyDvV8h9Z75TvYZcx0,Acústica,0.141
São João Carioca,6UeCS0ZYTI4On2ummaAUAT,Acústica,0.0215
Lá Vem Ela,2YiEcK8iYMBnblPPCQNyZL,Acústica,0.036
A Linha e o Linho (Ao Vivo),2G4p4jv1fYAbiwOWQqiQE0,Acústica,0.897
Superhomem - a Canção (Ao Vivo),0hhK7w4ADtpvZaIVQ7cCzK,Acústica,0.865
Saudade da Bahia (Ao Vivo),0114uqGGY5ekp155LIZLsV,Acústica,0.865
"Das Duas, Uma (Ao Vivo)",0t10OW5i0utzyrxD02pFQ1,Acústica,0.777
Quatro Coisas (Ao Vivo),5h6KXI64u0HZne6k5mGNwO,Acústica,0.867
Amor Até o Fim (Ao Vivo),7sOo6mq9K8WcNlmQMvsSR0,Acústica,0.821
O Rouxinol (Ao Vivo),75B4TllmYUchyYcPNHz4nG,Acústica,0.864
Refazenda (Ao Vivo),22CVOYaOMEk15QiOWlOfOo,Acústica,0.868
Banda Um (Ao Vivo),3owofwkofzMg9hr0XCzoR2,Acústica,0.734
La Renaissance Africaine (Ao Vivo),5HqmKsgBYHvJRmtayhOr13,Acústica,0.705
Babá Alapalá (Ao Vivo),4v3fF4J1lO1fWRkbBZVVtE,Acústica,0.81
Expresso 2222 (Ao Vivo),0mI0S9VcuRAyhyjp3rOdCK,Acústica,0.805
Despedida de solteira,37iEW916YEEYuxRrA9WmX3,Acústica,0.17
Os pais,6KYLdmxVZgCA1BFOpANgzp,Acústica,0.145
Não grude não,3M9t8rvmoDbmV80UvppiTX,Acústica,0.481
Formosa,2pFjRTGMh3xpEsQZV4cZdU,Acústica,0.513
Samba de Los Angeles,2K3ipoSAjBk0T68SqlGpcd,Acústica,0.305
La renaissance africaine,1uepkfNm3wQhahAXbIqlx4,Acústica,0.185
Olho mágico,3HE8oanG92t41ZlfUOZK7S,Acústica,0.773
Não tenho medo da morte,6fht7Ses5AozNNE5x6Xtzw,Acústica,0.619
Amor de carnaval,4RFn4VTxB0PJDPE9u50Rs0,Acústica,0.898
